matricula_id,data,hora
LV001,23022026,09:05
LV002,23022026,09:15
LV003,23022026,18:40
LV001,18012026,17:56
LV001,12012026,13:23
LV001,9022026,11:28
LV001,1032026,15:39
LV002,15032026,15:59
LV002,15032026,09:56
LV003,9022026,09:56
LV003,12012026,10:17
LV003,9022026,12:45
LV004,2022026,14:32
LV004,24022026,14:57
LV004,5012026,08:40
LV004,20022026,14:02
LV005,16022026,10:40
LV005,9022026,11:47
LV006,1032026,19:35
LV006,5012026,09:04
LV006,18012026,07:53
LV006,16022026,10:27
LV006,18012026,07:19
LV007,5012026,17:13
LV007,15032026,13:42
LV007,12012026,17:49
LV007,1032026,19:39
LV008,2022026,11:51
LV008,18012026,19:01
LV008,18012026,16:50
LV009,15032026,13:17
LV009,18012026,09:24
LV009,5012026,21:14
LV009,2022026,20:22
LV009,9022026,13:14
LV010,15032026,12:25
LV010,16022026,14:55
LV011,9022026,17:41
LV011,1032026,18:43
LV012,5012026,09:56
LV012,9022026,11:37
LV012,9022026,07:06
LV012,8032026,19:22
LV013,20022026,09:24
LV013,8032026,12:16
LV013,5012026,19:00
LV013,1032026,12:23
LV014,12012026,16:39
LV014,16022026,09:46
LV014,9022026,15:42
LV014,20022026,16:25
LV014,9022026,10:12
LV015,15032026,18:43
LV015,18012026,15:25
LV015,1032026,06:19
LV015,9022026,12:27
LV015,8032026,16:29
LV016,24022026,12:32
LV016,24022026,11:42
LV016,12012026,15:32
LV016,15032026,16:05
LV016,2022026,15:14
LV017,18012026,06:02
LV017,2022026,21:39
LV017,12012026,20:26
LV018,20022026,21:25
LV018,2022026,10:41
LV018,5012026,09:49
LV019,2022026,11:51
LV019,1032026,20:03
LV019,1032026,13:58
LV019,12012026,20:08
LV019,24022026,16:48
LV020,8032026,19:53
LV020,1032026,20:57
LV020,18012026,21:28
LV020,9022026,13:53
LV020,15032026,14:49
