pessoa_id,placa,marca,modelo,cor_veiculo
1,KJP4H23,Fiat,Uno,Branco
2,MTB2G17,Jeep,Renegade,Cinza
4,HLV9N37,Hyundai,HB20,Vermelho
6,JJX1A45,Fiat,Uno,Branco
8,DWG2V70,Fiat,Mobi,Branco
11,LPQ9B02,Fiat,Uno,Vermelho
16,JMQ5O76,Hyundai,HB20,Vermelho
17,JJW7E64,Fiat,Argo,Branco
20,KXD1X72,Fiat,Uno,Branco
23,RGT7C61,Fiat,Uno,Prata
24,WKX3A19,Renault,Sandero,Prata
25,LSK1O80,Fiat,Palio,Prata
27,RRS0V93,Volkswagen,Voyage,Preto
28,XXT3Z70,Fiat,Palio,Prata
29,FCQ5Z23,Honda,Civic,Preto
31,VKL7G79,Fiat,Uno,Vermelho
34,RJF1V65,Jeep,Renegade,Cinza
37,ZCK1B52,Toyota,Corolla,Branco
38,FKK1K12,Chevrolet,Celta,Cinza
