matricula_id,pessoa_id,nome_academia,plano,data_matricula
LV001,1,Letsvibe Quadramares 24h,ouro,2026-01-08
LV002,2,Letsvibe Quadramares 24h,ouro,2026-01-19
LV003,5,Letsvibe Quadramares 24h,bronze,2026-01-25
LV004,6,Letsvibe Quadramares 24h,ouro,2026-03-02
LV005,30,Letsvibe Quadramares 24h,bronze,2025-11-17
LV006,12,Letsvibe Quadramares 24h,ouro,2025-12-03
LV007,7,Letsvibe Quadramares 24h,bronze,2025-11-22
LV008,26,Letsvibe Quadramares 24h,ouro,2026-03-04
LV009,22,Letsvibe Quadramares 24h,ouro,2025-12-19
LV010,32,Letsvibe Quadramares 24h,bronze,2025-11-20
LV011,36,Letsvibe Quadramares 24h,ouro,2026-03-22
LV012,29,Letsvibe Quadramares 24h,prata,2026-04-17
LV013,16,Letsvibe Quadramares 24h,ouro,2026-02-07
LV014,25,Letsvibe Quadramares 24h,bronze,2026-01-11
LV015,23,Letsvibe Quadramares 24h,bronze,2026-02-13
LV016,27,Letsvibe Quadramares 24h,prata,2026-01-21
LV017,24,Letsvibe Quadramares 24h,bronze,2026-03-11
LV018,21,Letsvibe Quadramares 24h,ouro,2025-11-15
LV019,41,Letsvibe Quadramares 24h,bronze,2026-04-04
LV020,9,Letsvibe Quadramares 24h,ouro,2026-04-07
